variable,variable_type,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,five_yr_change
ind_prof_sci_tech,ind,0.0428938667565341,0.0509938686573536,0.0802014174307093,0.109054822202519,0.125843844377332,0.0829499776207976
ind_retail_trade,ind,0.0411585083932164,0.0941805612445503,0.124571872694699,0.107250068634643,0.101079972760111,0.0599214643668949
ind_other,ind,0.0488099078790818,0.0720325569641963,0.0858065918431868,0.0960434941109226,0.106535352638124,0.0577254447590422
ind_admin_waste_remedial,ind,0.0772362902579509,0.0890508871334856,0.116407814311308,0.13536101822306,0.129108189731746,0.0518718994737954
ind_construction,ind,0.0592271952951137,0.0546566183560777,0.0875981399515228,0.0946167936595092,0.0900396754900219,0.0308124801949082
ind_trans_and_warehouse,ind,0.0285507034931151,0.0307889918634957,0.038235061650332,0.0473511528369736,0.0566486054361343,0.0280979019430192
ind_finance_insurance,ind,0.0113841152549199,0.014409248192116,0.0254011223521973,0.0422519363970638,0.0383579084502872,0.0269737931953673
ind_information,ind,0.00906311197325349,0.0105339404162307,0.0105055854146907,0.0159502410088617,0.0214736187599929,0.0124105067867394
ind_wholesaletrade,ind,0.0294661589707445,0.0293375759803899,0.032817604594794,0.036720659252625,0.0385836738319417,0.00911751486119726
ind_real_estate_rental_lease,ind,0.0147315383145345,0.0173102554254765,0.0210276372642007,0.0221476117394494,0.0216919819979866,0.00696044368345214
ind_manufacturing,ind,0.00731542424323375,0.00756086413524897,0.0101169775529561,0.0117106453456711,0.0124467045656422,0.00513128032240846
ind_public_admin,ind,0.0144325511720091,0.017069417089122,0.0210441036990199,0.0212609871686972,0.0185127612956712,0.00408021012366218
ind_utilities,ind,0.000569205762745997,0.000765391531065865,0.00147868584676994,0.00105764859962825,0.00189124770533547,0.00132204194258947
ind_agri_forest_fish_hunt,ind,0.00113738407826682,0.00102994879448553,0.00324718094635894,0.00234482944853752,0.00235018061230532,0.0012127965340385
ind_healthcare_social,ind,0.0983564954186128,0.106468789997181,0.127104410369902,0.104509183540287,0.0992109314857583,0.000854436067145442
ind_mining,ind,0.000276383303571612,0.000386800964448065,0.000464353461903256,0.000720101174214977,0.000732812222419613,0.000456428918848001
ind_management,ind,0.0081322447872465,0.00838646525040345,0.00507824849826115,0.00557628346782723,0.00634363711730917,-0.00178860766993733
ind_education,ind,0.0359565430921641,0.0592042664876192,0.0364731531246707,0.0323640471486244,0.0318255166696275,-0.00413102642253654
ind_arts_entertain_rec,ind,0.032843377999889,0.0272858887892491,0.0162820107492887,0.0163597985516965,0.0162773139101084,-0.0165660640897807
ind_accommodation_food,ind,0.154795198944606,0.15298799183704,0.0898639213826536,0.0771858446111679,0.07244107893646,-0.0823541200081462
ind_ina,ind,0.28366379460919,0.155559670890764,0.0662741068605754,0.0201628328780194,0.00860499200568485,-0.275058802603505
